기관명,병원분류명,주소,병원경도,병원위도
가산기대찬의원,의원,"서울특별시 금천구 벚꽃로 286, 삼성리더스타워 111~114호 (가산동)",126.8841224970078,37.4803938036867
365엠씨의원,의원,"서울특별시 강남구 도산대로 118 (논현동, 신사빌딩 2층)",127.0218085089,37.5166041956
41타워마디튼튼의원,의원,"서울특별시 양천구 목동동로 293, 현대41타워 406,407호 (목동)",126.875771989415,37.5281783139269
41타워안과의원,의원,"서울특별시 양천구 목동동로 293, 현대41타워 504,505호 (목동)",126.875771989415,37.5281783139269
가로수치과의원,치과의원,"서울특별시 관악구 신원로 38, 5층 (신림동, 청암빌딩)",126.9293767300304,37.48191798611885
4대회춘당한의원,한의원,"서울특별시 성동구 행당로 107, 2층 (행당동)",127.03087023789855,37.55804819244818
4월31일성형외과의원,의원,"서울특별시 강남구 논현로 707, 4월 31일 빌딩 지하1층 일부, 2~3층 (논현동)",127.029898773686,37.5150970277772
4월31일치과의원,치과의원,서울특별시 강남구 강남대로 548  (논현동),127.021887080623,37.5110346248226
가좌경희한의원,한의원,"서울특별시 서대문구 수색로 56, 129~130호 (북가좌동, 성공타워1)",126.9127073134,37.5708141022
747의원,의원,"서울특별시 강남구 도산대로 122, 에메랄드타워 8층 (논현동)",127.022136047241,37.5168459639768
홍익한사랑의원,의원,"서울특별시 마포구 독막로 63, 2층 (상수동)",126.920531816057,37.5479941355479
21세기한의원,한의원,"서울특별시 중구 남대문시장길 73-3, 7층 (회현동1가)",126.980011086024,37.5609891377777
815의원,의원,"서울특별시 강남구 논현로 822, 로뎀빌딩 4,5,6층 (신사동)",127.028447137115,37.5217786860123
97.7비엔에치의원,의원,"서울특별시 용산구 유엔빌리지길 72, 지하1,지상1,2층 (한남동)",127.01081601251772,37.53218945103117
81도치과교정과치과의원,치과의원,"서울특별시 서초구 서초대로 286, 2층 202호 (서초동, 서초프라자)",127.013036802702,37.4931741239317
88신경외과의원,의원,"서울특별시 영등포구 도림로 144, 88월드타워 4층 (대림동)",126.89821279355,37.493335973391
강북권의료복지사회적협동조합명성의원,의원,"서울특별시 도봉구 도봉로 759, 2, 3층 (도봉동)",127.043686692857,37.6723293932498
88월드치과의원,치과의원,"서울특별시 영등포구 도림로 144, 88월드타워 3층 (대림동)",126.89821279355,37.493335973391
S앤비한의원,한의원,"서울특별시 송파구 가락로 169 (송파동,2층)",127.1138783477,37.5040597913
경희한의원,한의원,서울특별시 강북구 도봉로 45 (미아동),127.02945322795,37.6131435556689
88플러스내과산부인과의원,의원,"서울특별시 노원구 동일로192길 74, 201,202호 (공릉동, 우은빌딩)",127.07710132272,37.6270616730914
가우디치과병원,치과병원,"서울특별시 강남구 테헤란로 520, 4층 (대치동, 삼안빌딩)",127.0610611946,37.5078254575
10월10일한의원,한의원,"서울특별시 서초구 양재천로 99-2, 유림빌딩 2층 (양재동)",127.040001794114,37.4763877807578
88플러스내과의원,의원,"서울특별시 강서구 방화동로 40, 2층 (공항동)",126.811268489685,37.5640509513824
가산의원,의원,"서울특별시 금천구 가산디지털1로 186, 4층 403호 (가산동, 제이플라츠)",126.8815830343,37.4819121882
경희부부한의원,한의원,"서울특별시 강동구 양재대로 1478, 4층 (길동)",127.140227539906,37.5376937056369
(의)열린의료재단구로열린의원,의원,"서울특별시 구로구 구로중앙로 68, 208, 209, 210호 (구로동, 신안타워)",126.888807280468,37.495860314768
88흉부외과의원,의원,"서울특별시 구로구 가마산로 246, 5층 (구로동)",126.888315077346,37.4946886322524
강남유닉플란트치과의원,치과의원,"서울특별시 강남구 봉은사로 111, 801호 (논현동)",126.97904783905594,37.56083625181834
8메디한의원,한의원,"서울특별시 서초구 서초중앙로 125, 4층 408호 (서초동, 로이어즈타워)",127.0134202253,37.4930099175
