지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),점포구분명
서울특별시 노원구 상계동 173번지,서울특별시 노원구 한글비석로 396 (상계동),상계역전종합상가,206280.789903642    ,462002.498987713    ,대규모점포
서울특별시 노원구 중계동 509번지 2호,서울특별시 노원구 동일로204가길 12 (중계동),홈플러스(주) 중계점,205985.953324881    ,459730.43776924     ,대규모점포
서울특별시 노원구 상계동 1258 희성오피앙,"서울특별시 노원구 동일로 1701 (상계동, 희성오피앙)",오피앙,204772.500639238    ,464208.305428933    ,대규모점포
서울특별시 노원구 월계동 333번지 1호,"서울특별시 노원구 마들로3길 15 (월계동, 월계이마트)",이마트타운 월계점,205391.070378059    ,458333.989216339    ,대규모점포
서울특별시 노원구 중계동 517호,"서울특별시 노원구 노원로 330 (중계동, 롯데마트)",롯데마트 중계점,206132.432496938    ,460549.311157153    ,대규모점포
서울특별시 노원구 중계동 360번지 2호,서울특별시 노원구 중계로 225 (중계동),홈플러스(주)익스프레스 중계점,206490.247358174    ,460830.615360327    ,준대규모점포
서울특별시 노원구 중계동 506번지 1   호,,건영옴니백화점,205645.891969072    ,459609.012509743    ,대규모점포
서울특별시 노원구 하계동 284번지 2호,"서울특별시 노원구 한글비석로 57 (하계동, 세이브존)",세이브존,206044.776421388    ,459360.877718439    ,대규모점포
서울특별시 노원구 중계2.3동 509번지 2001아울렛,서울특별시 노원구 동일로204가길 46 (중계동),이천일아울렛 중계점,205931.05327036     ,459884.197207567    ,대규모점포
서울특별시 노원구 상계동 1318번지,서울특별시 노원구 상계로23다길 13-8 (상계동),노원아이파크 상가,206033.023278317    ,461935.33920381     ,대규모점포
서울특별시 노원구 상계동 684번지,서울특별시 노원구 한글비석로 471 (상계동),(주)지에스리테일 GS수퍼상계점,205715.538939251    ,462416.211580109    ,준대규모점포
서울특별시 노원구 공릉동 238번지 53호,"서울특별시 노원구 공릉로 144 (공릉동, 공릉빌딩)",롯데쇼핑(주) 롯데슈퍼공릉점,206952.444113646    ,457814.529614419    ,준대규모점포
서울특별시 노원구 월계3동 18번지 그랑빌아파트주상가 지층동 101호,서울특별시 노원구 마들로 31 (월계동),(주)지에스리테일 GS슈퍼 노원월계점,205984.15211292     ,457275.799282625    ,준대규모점포
서울특별시 동대문구 장안동 310-8 희헌빌딩,"서울특별시 동대문구 장한로28가길 45, 희헌빌딩 (장안동)",GS THE FRESH 동대문장안점,206341.538776724    ,452530.018811546    ,준대규모점포
서울특별시 동대문구 이문동 257-42 래미안라그란데아파트 F동 101~4호,"서울특별시 동대문구 이문로35길 12, F동 101~4호 (이문동, 래미안라그란데아파트)",GS THE FRESH 이문라그란데점,205249.265435832    ,455308.651763587    ,준대규모점포
서울특별시 동대문구 휘경동 172 휘경자이디센시아,"서울특별시 동대문구 외대역동로 63-27, 상가동 201~203호 (휘경동, 휘경자이디센시아)",이마트에브리데이 휘경자이점,205461.893514965    ,454519.052992935    ,준대규모점포
서울특별시 동대문구 이문동 149-8 근린생활시설 2동 101호,서울특별시 동대문구 이문로 120 (이문동),GS THE FRESH 이문파크자이점,205541.211931615    ,455132.605075423    ,준대규모점포
서울특별시 중랑구 상봉동 81호,서울특별시 중랑구 망우로 336 (상봉동),코스트코홀세일 상봉점,207897.260402153    ,454953.363448013    ,대규모점포
서울특별시 중랑구 면목동 168번지 2호,서울특별시 중랑구 사가정로 332 (면목동),홈플러스(주)면목점,207090.86716546     ,453072.936040777    ,대규모점포
서울특별시 중랑구 신내1동 786번지 동성타워프라자,서울특별시 중랑구 봉화산로 221 (신내동),동성타워프라자,208520.092335397    ,456195.877460936    ,대규모점포
서울특별시 중랑구 중화2동 314번지 1호,서울특별시 중랑구 동일로129길 35 (중화동),태능엔터피아 번영회,206771.217305763    ,455221.989517331    ,대규모점포
,"서울특별시 중랑구 망우로 353-0 (상봉동, 프레미어스 엠코)",이노시티,207923.745922676    ,455090.718335439    ,대규모점포
서울특별시 중랑구 신내동 646 금강리빙스텔,"서울특별시 중랑구 신내로 211, 금강리빙스텔 비01호 (신내동)",롯데프레시앤델리 봉화산역점,208112.860200669    ,457113.638411288    ,준대규모점포
서울특별시 중랑구 망우동 580 중랑숲금호어울림,"서울특별시 중랑구 양원역로 18, 103~106호 (망우동, 중랑숲금호어울림)",GS THE FRESH 중랑망우점,209579.542671166    ,455549.589368255    ,준대규모점포
서울특별시 중랑구 신내동 502-5 대명프라자,"서울특별시 중랑구 봉화산로56길 153, 대명프라자 (신내동)",GS THE FRESH 신내점,208481.612667873    ,455496.980508789    ,준대규모점포
서울특별시 중랑구 중화동 331-1 리버센 SK VIEW 롯데캐슬,"서울특별시 중랑구 중랑천로 200, 102,105,404호 (중화동, 리버센 SK VIEW 롯데캐슬)",이마트에브리데이 중화리버센SK점,206612.198807103    ,455630.425418005    ,준대규모점포
서울특별시 성북구 보문동4가 1번지 1   호,,보문시장,                    ,                    ,
서울특별시 성북구 하월곡동 88번지 345호,,미아시장,                    ,                    ,
서울특별시 성북구 석관동 270호,,석관시장,                    ,                    ,
서울특별시 성북구 석관동 338번지 18호,,새석관시장,204582.680269555    ,456210.836257791    ,
서울특별시 성북구 길음동 540번지 2   호,,길음시장,                    ,                    ,
서울특별시 성북구 돈암동 609번지 1  호,,동소문스카이프라자,                    ,                    ,
서울특별시 성북구 길음동 20번지 1호,"서울특별시 성북구 동소문로 315 (길음동, 현대백화점미아점)",현대백화점 미아점,202466.801084521    ,456227.571720914    ,대규모점포
서울특별시 성북구 길음동 535번지 8호,서울특별시 성북구 동소문로 227 (길음동),길음시장,201852.588541848    ,455598.947533777    ,대규모점포
서울특별시 성북구 길음동 25번지 2호,,신세계이마트미아점,202555.30089577     ,456503.066230481    ,
서울특별시 성북구 길음동 25번지 2호,서울특별시 성북구  도봉로  17 (길음동),이마트 미아점,202555.30089577     ,456503.066230481    ,대규모점포
서울특별시 성북구 종암동 132번지,"서울특별시 성북구 종암로 132 (종암동, 종암우림카이저팰리스)",종암우림카이저팰리스주상복합,202887.735294472    ,455516.204264925    ,대규모점포
서울특별시 성북구 길음동 25번지 2호 신세계 이마트 미아점,"서울특별시 성북구 도봉로 17, 신세계 이마트 미아점 (길음동)",이마트 미아점,202555.30089577     ,456503.066230481    ,대규모점포
서울특별시 성북구 하월곡동 46-73 코업스타클래스,"서울특별시 성북구 화랑로 76, 코업스타클래스 (하월곡동)",홈플러스 월곡점,203502.004139568    ,455500.568972657    ,대규모점포
서울특별시 성북구 길음2동 230번지 동일하이빌뉴시티아파트,"서울특별시 성북구 종암로 167,  동 (하월곡동)",이마트 하월곡점,202667.468802014    ,455858.920803881    ,대규모점포
,"서울특별시 성북구 성북로4길 52 (돈암동, 한진아파트)",GS더프레시 동소문점,200841.726990037    ,454721.505180141    ,준대규모점포
서울특별시 성북구 돈암2동 636번지,"서울특별시 성북구 북악산로 844 (돈암동, 돈암이수브라운스톤아파트)",GS더프레시 성북돈암점,201501.474496909    ,455061.698603977    ,준대규모점포
서울특별시 성북구 길음1동 1284번지 삼성래미안3차아파트,"서울특별시 성북구 길음로 33 (길음동, 길음뉴타운8단지아파트)",GS더프레시 길음뉴타운점,201514.970976778    ,456137.102062808    ,준대규모점포
,서울특별시 중랑구 면목로74길 45 (면목동),동원,207869.605609192    ,454173.313439431    ,대규모점포
