지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y)
서울특별시 동대문구 전농동 3-6,"서울특별시 동대문구 한천로39길 24, 1층 (전농동)",건홍사,205845.634002874    ,452896.796825679    
서울특별시 동대문구 용두동 779 신동아(아) 상가 2층,"서울특별시 동대문구 무학로26길 16, 2층 (용두동, 신동아(아) 상가)",신동아 세탁소,202785.097798743    ,452268.006218109    
서울특별시 동대문구 용두동 792-3 삼성허브리츠상가(202호),"서울특별시 동대문구 왕산로26길 35 (용두동,삼성허브리츠상가(202호))",삼성명품세탁,203164.661789051    ,452691.906487388    
서울특별시 동대문구 전농동 688-3 래미안아름숲상가 109호,"서울특별시 동대문구 사가정로17길 15, 109호 (전농동, 래미안아름숲상가)",삼성레미안세탁소,205230.401831584    ,452918.582914393    
서울특별시 동대문구 전농동 213-16,"서울특별시 동대문구 서울시립대로16길 16, 1층 (전농동)",그린,204505.252441033    ,453051.694891849    
서울특별시 동대문구 회기동 65,"서울특별시 동대문구 이문로1길 21, 106호 (회기동)",경희세탁,204507.409771246    ,454145.156618096    
서울특별시 동대문구 휘경동 281-26,"서울특별시 동대문구 망우로12길 29, 1층 (휘경동)",경희사,205080.731264762    ,453989.822744461    
서울특별시 동대문구 신설동 42-1,서울특별시 동대문구 한빛로 27 (신설동),에이원,202206.095110985    ,452860.673343398    
서울특별시 동대문구 용두동 39-168,서울특별시 동대문구 답십리로8길 2-1 (용두동),친절사,203832.199096787    ,452776.105156793    
서울특별시 동대문구 휘경동 286-334,서울특별시 동대문구 망우로16길 26 (휘경동),경희사,205326.014467519    ,454077.422005409    
서울특별시 동대문구 휘경동 286-73,서울특별시 동대문구 망우로18가길 25 (휘경동),백양사,205351.451022284    ,454062.104700766    
서울특별시 동대문구 장안동 391-38,"서울특별시 동대문구 답십리로68길 42, 1층 (장안동)",미키사세탁빨래방,206002.851232131    ,452043.878969487    
서울특별시 동대문구 장안동 341-4,"서울특별시 동대문구 장한로26다길 36, 1층 (장안동)",백미사,206358.434416469    ,451988.220435128    
서울특별시 동대문구 휘경동 52,서울특별시 동대문구 장안벚꽃로5길 19 (휘경동),태양사,206483.555525111    ,453265.197034985    
서울특별시 동대문구 장안동 317-1,서울특별시 동대문구 답십리로69길 144 (장안동),대광컴퓨터,206485.471340735    ,452941.212470026    
서울특별시 동대문구 장안동 363-10,서울특별시 동대문구 장한로18길 12 (장안동),탐나사,206070.36302304     ,451697.618992626    
서울특별시 동대문구 장안동 293-20,서울특별시 동대문구 장한로27길 46 (장안동),금옥사,206032.195348346    ,452337.334800907    
서울특별시 동대문구 장안동 329-3,서울특별시 동대문구 장안벚꽃로 167 (장안동),삼성세탁소,206590.046202018    ,452410.619464697    
서울특별시 동대문구 휘경동 286-108 1층,"서울특별시 동대문구 망우로18가길 61-1 (휘경동,1층)",배봉사,205281.392571816    ,453923.309554238    
서울특별시 동대문구 이문동 338-10,서울특별시 동대문구 이문로 64-1 (이문동),성신사,205056.256755474    ,454514.879849619    
서울특별시 동대문구 용두동 791 두산위브아파트상가 2층 204호,"서울특별시 동대문구 정릉천동로 16 (용두동,두산위브아파트상가 2층 204호)",두산위브,203129.791436447    ,452349.208588547    
서울특별시 동대문구 청량리동 520-57,서울특별시 동대문구 제기로 71-1 (청량리동),태양세탁소,203556.511477194    ,453839.956993897    
서울특별시 동대문구 이문동 88-33,서울특별시 동대문구 한천로55길 14 (이문동),원진사,205856.131781714    ,454934.972878986    
서울특별시 동대문구 제기동 892-48,"서울특별시 동대문구 약령서길 36, 2층 (제기동)",백양세탁소,203135.518625579    ,453073.72224235     
서울특별시 동대문구 전농동 127-216,서울특별시 동대문구 서울시립대로21길 17 (전농동),제일사,204463.970129326    ,453311.179354009    
서울특별시 동대문구 청량리동 32-1,서울특별시 동대문구 왕산로49길 11 (청량리동),백운세탁소,204370.111855155    ,453669.699005694    
서울특별시 동대문구 이문동 257-42 래미안라그란데아파트 F동 105호,"서울특별시 동대문구 이문로35길 12, F동 105호 (이문동, 래미안라그란데아파트)",명품세탁소,205249.265435832    ,455308.651763587    
서울특별시 동대문구 전농동 530-65,서울특별시 동대문구 답십리로23길 53 (전농동),백합사,204317.252990486    ,452842.69431721     
서울특별시 동대문구 장안동 347-7,서울특별시 동대문구 장한로20길 30 (장안동),신흥세탁사,206196.121          ,451750.1465         
서울특별시 동대문구 전농동 103-209,서울특별시 동대문구 전농로37길 31 (전농동),경원사,204481.057919463    ,453515.151352566    
서울특별시 동대문구 답십리동 42,서울특별시 동대문구 답십리로 210-30 (답십리동),하나크린,205458.80568924     ,452059.747091201    
서울특별시 동대문구 답십리동 989-1,서울특별시 동대문구 답십리로59길 33 (답십리동),우성그린세탁소,205762.994263246    ,452510.004742539    
서울특별시 동대문구 제기동 182-24,서울특별시 동대문구 약령시로 34-1 (제기동),백양세탁소,202905.522760223    ,453370.268720445    
서울특별시 동대문구 용두동 730-13,"서울특별시 동대문구 안암로 44, 1층 (용두동)",새로나 세탁소,202322.997422803    ,453161.425049892    
서울특별시 동대문구 이문동 237-113,서울특별시 동대문구 신이문로 31 (이문동),영남사,205724.198232682    ,455645.787564326    
서울특별시 동대문구 장안동 195-11,서울특별시 동대문구 한천로14길 26 (장안동),뉴쌍용,205591.83155926     ,451635.52322795     
서울특별시 동대문구 답십리동 488-17,서울특별시 동대문구 전농로 22 (답십리동),모아그린방,204945.300929113    ,451597.889972005    
서울특별시 동대문구 제기동 137-249,서울특별시 동대문구 안암로20가길 17 (제기동),동교사,203073.635194079    ,453953.913393211    
서울특별시 동대문구 장안동 396-1 1층,"서울특별시 동대문구 답십리로66길 119, 1층 (장안동)",수정빨래방세탁,205709.945356907    ,451713.767882199    
