지번주소,도로명주소,사업장명,좌표정보(X),좌표정보(Y),문화체육업종명
서울특별시 동대문구 답십리동 68-1,"서울특별시 동대문구 전농로 94, 한성빌딩 2층 (답십리동)",헬스고 여성전용,205033.874040234    ,452322.301296488    ,체력단련장업
서울특별시 동대문구 용두동 797 청량리역 해링턴플레이스,"서울특별시 동대문구 고산자로34길 70, 청량리역 해링턴플레이스 B동 B02호 (용두동)",렛츠붐 스피닝,                    ,                    ,체력단련장업
서울특별시 동대문구 용두동 255-66 청계천 대성 스카이렉스2,"서울특별시 동대문구 청계천로 471, 2층 1,2,3호 (용두동, 청계천 대성 스카이렉스2)",골든몽키짐 플래티넘 sky,202572.480304067    ,452006.05468554     ,체력단련장업
서울특별시 동대문구 답십리동 266-1,"서울특별시 동대문구 전농로 38, 지하1,2층 (답십리동)",답십리점 스포애니 (주)케이디헬스케어,204992.502701499    ,451779.215426738    ,체력단련장업
서울특별시 종로구 창신동 576,"서울특별시 종로구 창신길 24, 2층 (창신동)",박영길 휘트니스,200889.400582142    ,452273.742811659    ,체력단련장업
서울특별시 종로구 신영동 254,서울특별시 종로구 진흥로 480 (신영동),MAX체력단련장,196428.478415698    ,455911.163224671    ,체력단련장업
서울특별시 종로구 신문로2가 12-5 신문로빌딩4층,서울특별시 종로구 새문안로 38 (신문로2가),푸쉬앤풀휘트니스,197258.437306384    ,451786.479083595    ,체력단련장업
서울특별시 종로구 낙원동 150-1 파고다빌딩,서울특별시 종로구 수표로26길 12 (낙원동),파고다,199028.829510033    ,452167.894965375    ,체력단련장업
서울특별시 종로구 혜화동 185 중원빌딩,"서울특별시 종로구 대학로 144, 3층 (혜화동)",슈퍼스타 휘트니스,200121.813720325    ,453518.007319338    ,체력단련장업
서울특별시 종로구 연건동 198-7,서울특별시 종로구 율곡로 202-7 (연건동),제일메가스포,200055.617260646    ,452600.848170354    ,체력단련장업
서울특별시 동대문구 장안동 93-5,"서울특별시 동대문구 사가정로25길 22-4, 3층 (장안동)",체크핏,206170.769726292    ,453042.665228566    ,체력단련장업
서울특별시 동대문구 장안동 433-2,"서울특별시 동대문구 장한로 26, 2층 (장안동)",쉐어짐,205791.158620462    ,451252.386694413    ,체력단련장업
서울특별시 동대문구 회기동 13-1,"서울특별시 동대문구 경희대로4길 18, 지하1층 (회기동)",나봄PT&필라테스,204653.767790155    ,454442.49904661     ,체력단련장업
서울특별시 동대문구 용두동 119-1,"서울특별시 동대문구 왕산로 68, 지하1층 (용두동)",에이치짐 용두동점,202672.572284882    ,452819.875924154    ,체력단련장업
서울특별시 동대문구 용두동 112-10,"서울특별시 동대문구 왕산로16길 9, 3층 301호 (용두동)",더밸런스짐,202698.421652205    ,452805.753356863    ,체력단련장업
서울특별시 동대문구 답십리동 94-8,"서울특별시 동대문구 전농로 104, 2층 (답십리동)",원리핏 PT,205038.735866185    ,452444.273068612    ,체력단련장업
서울특별시 동대문구 휘경동 187-4,"서울특별시 동대문구 이문로 62, 지하1층 (휘경동)",동네 운동장,205042.712600584    ,454481.556746917    ,체력단련장업
서울특별시 동대문구 제기동 137-153,"서울특별시 동대문구 제기로 4, 3층 (제기동)",셀리핏,202896.197590133    ,453757.563931607    ,체력단련장업
서울특별시 동대문구 휘경동 329,"서울특별시 동대문구 회기로28길 8, 3층 (휘경동)",스포벡 휘트니스 회기역점,204869.322552373    ,454131.367656426    ,체력단련장업
서울특별시 동대문구 답십리동 483-39,"서울특별시 동대문구 황물로 103, 지하1층 (답십리동)",쿠타짐 동대문,204486.997989395    ,451928.85891879     ,체력단련장업
서울특별시 동대문구 회기동 42-77,"서울특별시 동대문구 회기로13길 21, 지하1층 (회기동)",101퍼센트짐,204425.587063327    ,454464.263047036    ,체력단련장업
서울특별시 동대문구 전농동 597-2,"서울특별시 동대문구 왕산로 254, 3층 (전농동)",피티밤,204323.818574804    ,453460.832617313    ,체력단련장업
서울특별시 동대문구 장안동 337-11 리더스빌딩,"서울특별시 동대문구 답십리로72길 18, 리더스빌딩 4층 (장안동)",소울핏,206472.467412741    ,452115.49557391     ,체력단련장업
