candidate_id,district,neighborhood,lot,address,원본주소,시도,시군구,법정동,산여부,필지구분코드,본번,부번,법정동코드,PNU,parcel_polygon_geojson,필지매칭성공,필지매칭방식,parcel_source_shp,지번토큰,주소파싱성공,mgmt_status,asset_type,asset_class,land_category,area_sqm,lat,lon,youth_zone,extra_zone,special_zone,final_judgment,judgment_note,land_review,zone_interpret,ai1,ai1_note,area_band,area_review,area_note,ai2,ai2_note,merge_review,nearest_exit_station_id,nearest_exit_no,exit_distance_m,exit_review,exit_350,ai3,ai3_note,zone_main,zone_sub,special_zone_raw,land_score,land_score_note,zone_score,special_review_needed,area_score,main_lot,small_lot_for_merge,same_main_lot_small_count,merge_score,merge_note,nearest_station_exit_text,exit_score,total_score,ai_reason,non_spatial_base_score,refilter_hard_status,refilter_asset_type,refilter_project_type,refilter_policy_type_stage1,refilter_policy_note,refilter_followup,old_exit_350_reference,nearest_station_point,nearest_station_line,nearest_station_point_distance_m,nearest_station_image_available,사업유형,자산유형점수,지목검토등급,지목점수,용도지역검토등급,용도지역점수,특별검토필요,면적검토등급,면적점수,역세권판정상태,역세권예비구간,역세권후보분류,역세권점수,공간판정신뢰도,역세권판정근거,가장가까운역,역범위이미지검토,승강장경계재판정필요,정책유형,정책적합점수,최종점수,최종검토등급,AI추천사유
259,마포구,서교동,473-43,서울특별시 마포구 서교동 473-43,서울특별시 마포구 서교동 473-43,서울특별시,마포구,서교동,0,1,473,43,1144012000,1144012000104730043,"{""type"":""Polygon"",""coordinates"":[[[126.91173925949818,37.55674655221192],[126.9117787262702,37.55662919168626],[126.91178135091603,37.55662045397461],[126.91149610790823,37.55655911415399],[126.91145356738237,37.556684668652615],[126.91173925949818,37.55674655221192]]]}",True,지번,C:\Users\samsung\OneDrive\Desktop\2024년+12월+LX맵_필지_서울특별시(구+국토정보기본도(필지))\AL_11440_LAND_INFO_BASE_MAP_202501\11440.shp,473-43,True,매각(입찰)검토재산,토지,일반재산,대,383.5,37.55665115,126.9116058,"제1종일반주거지역, 일반상업지역, 준주거지역, 제3종일반주거지역, 제2종일반주거지역",,일반미관지구,조건부 가능후보,"제1종일반주거지역, 일반상업지역, 준주거지역, 제3종일반주거지역, 제2종일반주거지역 확인, 특별지구(일반미관지구) 추가 검토 필요",우선검토,,조건부 우선검토,지목(대)은 우선검토 대상; 특별지구(일반미관지구) 별도 확인 필요,330㎡ 이상,우선검토 규모,330㎡ 이상: 혼합 용도지역 해석에서도 상대적으로 여유 있는 우선 검토 규모,조건부 우선검토,지목(대)은 우선검토 대상; 특별지구(일반미관지구) 별도 확인 필요; 330㎡ 이상: 혼합 용도지역 해석에서도 상대적으로 여유 있는 우선 검토 규모,단독검토 가능,,1006000621.0,2.0,201.8,350m 역세권,Y,최우선검토,"제1종일반주거지역, 일반상업지역, 준주거지역, 제3종일반주거지역, 제2종일반주거지역",,일반미관지구,30.0,지목이 대라서 주거시설 후보지로 우선 검토할 수 있습니다.,35.0,False,40.0,473.0,False,0.0,8.0,면적상 단독 필지 기준으로도 검토 가능한 구간입니다.,1006000621.0 2.0번 출입구,25.0,138.0,,113.0,통과,토지,토지 신축형,역세권/안심주택형 정밀판정 필요,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",가장 가까운 역 범위이미지 기준으로 250m/350m 정밀 판정,350m 역세권,망원,6호선,150.3,Y,토지 신축형,25,우선검토,30,최우선 검토,35,True,우선검토 규모,40,예비판정,250m 이내,역세권 유력 후보,22,중간,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",망원,상위후보 우선검토,True,청년안심주택형 유력,15,162,우선검토,지목이 대로 신축형 검토에 유리합니다. 면적은 383.50㎡로 우선 검토 규모입니다. 용도지역은 준주거지역을 포함해 역세권 혼합개발형 청년주거 검토에 유리합니다. 망원 기준 점거리 250m 이내 예비구간으로 역세권 유력 후보로 분류했습니다.
596,종로구,창신동,23-363,서울특별시 종로구 창신동 23-363,서울특별시 종로구 창신동 23-363,서울특별시,종로구,창신동,0,1,23,363,1111017400,1111017400100230363,"{""type"":""Polygon"",""coordinates"":[[[127.01332767668264,37.577921477917165],[127.01323079407635,37.57794212068165],[127.01319571504146,37.57795801544272],[127.01312941178064,37.57810665173716],[127.01367224201476,37.578023848215665],[127.0136371862493,37.57790011333198],[127.01351750243424,37.577950812526126],[127.01332767668264,37.577921477917165]]]}",True,지번,C:\Users\samsung\OneDrive\Desktop\2024년+12월+LX맵_필지_서울특별시(구+국토정보기본도(필지))\AL_11110_LAND_INFO_BASE_MAP_202501\11110.shp,23-363,True,대부(입찰)검토재산,토지,일반재산,대,611.6,37.57799141,127.0133844,"제2종일반주거지역, 일반상업지역",,UQF110,조건부 가능후보,"제2종일반주거지역, 일반상업지역 확인, 특별지구(UQF110) 추가 검토 필요",우선검토,,조건부 우선검토,지목(대)은 우선검토 대상; 특별지구(UQF110) 별도 확인 필요,330㎡ 이상,우선검토 규모,330㎡ 이상: 혼합 용도지역 해석에서도 상대적으로 여유 있는 우선 검토 규모,조건부 우선검토,지목(대)은 우선검토 대상; 특별지구(UQF110) 별도 확인 필요; 330㎡ 이상: 혼합 용도지역 해석에서도 상대적으로 여유 있는 우선 검토 규모,단독검토 가능,,1006000637.0,1.0,181.0,350m 역세권,Y,최우선검토,"제2종일반주거지역, 일반상업지역",,UQF110,30.0,지목이 대라서 주거시설 후보지로 우선 검토할 수 있습니다.,35.0,False,40.0,23.0,False,2.0,8.0,면적상 단독 필지 기준으로도 검토 가능한 구간입니다.,1006000637.0 1.0번 출입구,25.0,138.0,,113.0,통과,토지,토지 신축형,역세권/안심주택형 정밀판정 필요,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",가장 가까운 역 범위이미지 기준으로 250m/350m 정밀 판정,350m 역세권,창신,6호선,247.5,Y,토지 신축형,25,우선검토,30,상업혼합 검토,32,True,우선검토 규모,40,예비판정,250m 이내,역세권 유력 후보,22,중간,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",창신,상위후보 우선검토,True,청년안심주택형 유력,15,159,우선검토,지목이 대로 신축형 검토에 유리합니다. 면적은 611.60㎡로 우선 검토 규모입니다. 용도지역은 상업지역을 포함해 역세권 복합개발 검토에 유리한 편입니다. 창신 기준 점거리 250m 이내 예비구간으로 역세권 유력 후보로 분류했습니다.
258,마포구,서교동,469-49,서울특별시 마포구 서교동 469-49,서울특별시 마포구 서교동 469-49,서울특별시,마포구,서교동,0,1,469,49,1144012000,1144012000104690049,"{""type"":""Polygon"",""coordinates"":[[[126.91292869652526,37.557267080044184],[126.91296769811765,37.557149349378754],[126.91259286018719,37.55706934414885],[126.91255318521117,37.55718562629069],[126.91292869652526,37.557267080044184]]]}",True,지번,C:\Users\samsung\OneDrive\Desktop\2024년+12월+LX맵_필지_서울특별시(구+국토정보기본도(필지))\AL_11440_LAND_INFO_BASE_MAP_202501\11440.shp,469-49,True,매각(입찰)검토재산,토지,일반재산,대,458.5,37.55716116,126.9127475,"제1종일반주거지역, 일반상업지역, 준주거지역, 제3종일반주거지역, 제2종일반주거지역",,일반미관지구,조건부 가능후보,"제1종일반주거지역, 일반상업지역, 준주거지역, 제3종일반주거지역, 제2종일반주거지역 확인, 특별지구(일반미관지구) 추가 검토 필요",우선검토,,조건부 우선검토,지목(대)은 우선검토 대상; 특별지구(일반미관지구) 별도 확인 필요,330㎡ 이상,우선검토 규모,330㎡ 이상: 혼합 용도지역 해석에서도 상대적으로 여유 있는 우선 검토 규모,조건부 우선검토,지목(대)은 우선검토 대상; 특별지구(일반미관지구) 별도 확인 필요; 330㎡ 이상: 혼합 용도지역 해석에서도 상대적으로 여유 있는 우선 검토 규모,단독검토 가능,,1006000621.0,2.0,281.6,350m 역세권,Y,최우선검토,"제1종일반주거지역, 일반상업지역, 준주거지역, 제3종일반주거지역, 제2종일반주거지역",,일반미관지구,30.0,지목이 대라서 주거시설 후보지로 우선 검토할 수 있습니다.,35.0,False,40.0,469.0,False,0.0,8.0,면적상 단독 필지 기준으로도 검토 가능한 구간입니다.,1006000621.0 2.0번 출입구,25.0,138.0,,113.0,통과,토지,토지 신축형,역세권/안심주택형 정밀판정 필요,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",가장 가까운 역 범위이미지 기준으로 250m/350m 정밀 판정,350m 역세권,망원,6호선,265.6,Y,토지 신축형,25,우선검토,30,최우선 검토,35,True,우선검토 규모,40,예비판정,250~350m,조건부 역세권 후보,12,중간,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",망원,상위후보 우선검토,True,조건부 역세권 개발형,8,145,조건부 검토,지목이 대로 신축형 검토에 유리합니다. 면적은 458.50㎡로 우선 검토 규모입니다. 용도지역은 준주거지역을 포함해 역세권 혼합개발형 청년주거 검토에 유리합니다. 망원 기준 점거리 250~350m 예비구간으로 조건부 역세권 후보입니다.
279,마포구,서교동,473-43,서울특별시 마포구 서교동 473-43,서울특별시 마포구 서교동 473-43,서울특별시,마포구,서교동,0,1,473,43,1144012000,1144012000104730043,"{""type"":""Polygon"",""coordinates"":[[[126.91173925949818,37.55674655221192],[126.9117787262702,37.55662919168626],[126.91178135091603,37.55662045397461],[126.91149610790823,37.55655911415399],[126.91145356738237,37.556684668652615],[126.91173925949818,37.55674655221192]]]}",True,지번,C:\Users\samsung\OneDrive\Desktop\2024년+12월+LX맵_필지_서울특별시(구+국토정보기본도(필지))\AL_11440_LAND_INFO_BASE_MAP_202501\11440.shp,473-43,True,매각(입찰)검토재산,건물,일반재산,,298.78,37.55668836,126.9116756,"제1종일반주거지역, 일반상업지역, 준주거지역, 제3종일반주거지역, 제2종일반주거지역",,일반미관지구,조건부 가능후보,"제1종일반주거지역, 일반상업지역, 준주거지역, 제3종일반주거지역, 제2종일반주거지역 확인, 특별지구(일반미관지구) 추가 검토 필요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,리모델링 예비후보,건물,건물 리모델링형,건물 리모델링형,역세권 신축형보다 리모델링·복합활용 검토가 우선,"건축물 구조, 공실 상태, 연면적, 리모델링 비용을 별도 검토",,망원,6호선,157.6,Y,건물 리모델링형,28,건물형 검토,20,최우선 검토,35,True,본격 검토,30,예비판정,250m 이내,역세권 유력 후보,22,중간,역세권 신축형보다 리모델링·복합활용 검토가 우선,망원,상위후보 우선검토,True,리모델링형 청년주거,12,142,우선검토,건물로 식별되어 리모델링형 청년주거 후보로 우선 분류했습니다. 용도지역은 준주거지역을 포함해 역세권 혼합개발형 청년주거 검토에 유리합니다. 망원 기준 점거리 250m 이내 예비구간으로 역세권 유력 후보로 분류했습니다.
267,마포구,노고산동,12-193,서울특별시 마포구 노고산동 12-193,서울특별시 마포구 노고산동 12-193,서울특별시,마포구,노고산동,0,1,12,193,1144011000,1144011000100120193,"{""type"":""Polygon"",""coordinates"":[[[126.93899587999306,37.55324523954395],[126.9389170915569,37.5532182490644],[126.93897411114553,37.553265400735754],[126.93899587999306,37.55324523954395]]]}",True,지번,C:\Users\samsung\OneDrive\Desktop\2024년+12월+LX맵_필지_서울특별시(구+국토정보기본도(필지))\AL_11440_LAND_INFO_BASE_MAP_202501\11440.shp,12-193,True,매각(입찰)검토재산,건물,일반재산,,345.03,37.55314467,126.9388951,"제1종일반주거지역, 일반상업지역, 준주거지역, 제3종일반주거지역, 제2종일반주거지역",,일반미관지구,조건부 가능후보,"제1종일반주거지역, 일반상업지역, 준주거지역, 제3종일반주거지역, 제2종일반주거지역 확인, 특별지구(일반미관지구) 추가 검토 필요",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,리모델링 예비후보,건물,건물 리모델링형,건물 리모델링형,역세권 신축형보다 리모델링·복합활용 검토가 우선,"건축물 구조, 공실 상태, 연면적, 리모델링 비용을 별도 검토",,서강대,경의중앙선,313.9,Y,건물 리모델링형,28,건물형 검토,20,최우선 검토,35,True,우선검토 규모,40,예비판정,250~350m,조건부 역세권 후보,12,중간,역세권 신축형보다 리모델링·복합활용 검토가 우선,서강대,상위후보 우선검토,True,리모델링형 청년주거,12,142,우선검토,건물로 식별되어 리모델링형 청년주거 후보로 우선 분류했습니다. 용도지역은 준주거지역을 포함해 역세권 혼합개발형 청년주거 검토에 유리합니다. 서강대 기준 점거리 250~350m 예비구간으로 조건부 역세권 후보입니다.
114,구로구,오류동,145-171,서울특별시 구로구 오류동 145-171,서울특별시 구로구 오류동 145-171,서울특별시,구로구,오류동,0,1,145,171,1153010800,1153010800101450171,"{""type"":""Polygon"",""coordinates"":[[[126.84632410878933,37.49293336756673],[126.8464156192818,37.49293432810735],[126.84641099711904,37.49290371130826],[126.8463851306667,37.49288091465277],[126.84634956096048,37.49281174138618],[126.84633115635405,37.49276202874828],[126.8463196368578,37.49274059233714],[126.84631974796132,37.49274707522262],[126.84632410878933,37.49293336756673]]]}",True,지번,C:\Users\samsung\OneDrive\Desktop\2024년+12월+LX맵_필지_서울특별시(구+국토정보기본도(필지))\AL_11530_LAND_INFO_BASE_MAP_202501\11530.shp,145-171,True,매각(입찰)검토재산,토지,일반재산,대,90.0,37.49286903,126.8463393,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 제1종일반주거지역, 근린상업지역",UQA330,,가능후보,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 제1종일반주거지역, 근린상업지역 확인",우선검토,준공업지역,조건부 우선검토,지목(대)은 우선검토 대상; 준공업지역 포함: 주거/오피스텔 가능성은 있으나 서울시 조례·공장부지 여부 확인 필요,90~149㎡,소규모 조건부검토,90~149㎡: 서울 주거지역 기준은 충족하지만 청년주택 신축 후보로는 작음,조건부 우선검토,지목(대)은 우선검토 대상; 준공업지역 포함: 주거/오피스텔 가능성은 있으나 서울시 조례·공장부지 여부 확인 필요; 90~149㎡: 서울 주거지역 기준은 충족하지만 청년주택 신축 후보로는 작음,단독 또는 결합 검토,1.0,1001000144.0,1.0,407.1,500m 근접권,N,조건부 우선검토,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 제1종일반주거지역, 근린상업지역",UQA330,,30.0,지목이 대라서 주거시설 후보지로 우선 검토할 수 있습니다.,35.0,False,15.0,145.0,True,1.0,6.0,90~149㎡ 구간이라 단독과 결합 가능성을 함께 볼 수 있습니다.,1001000144.0 1.0번 출입구,18.0,104.0,,86.0,통과,토지,토지 신축형,역세권/안심주택형 정밀판정 필요,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",가장 가까운 역 범위이미지 기준으로 250m/350m 정밀 판정,500m 근접권,오류동,경인선,203.3,Y,토지 신축형,25,우선검토,30,최우선 검토,35,False,추가검토,12,예비판정,250m 이내,역세권 유력 후보,22,중간,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",오류동,상위후보 우선검토,True,청년안심주택형 유력,15,139,최우선검토,지목이 대로 신축형 검토에 유리합니다. 면적은 90.00㎡로 추가 검토 구간입니다. 용도지역은 준주거지역을 포함해 역세권 혼합개발형 청년주거 검토에 유리합니다. 오류동 기준 점거리 250m 이내 예비구간으로 역세권 유력 후보로 분류했습니다.
118,구로구,오류동,328-1,서울특별시 구로구 오류동 328-1,서울특별시 구로구 오류동 328-1,서울특별시,구로구,오류동,0,1,328,1,1153010800,1153010800103280001,"{""type"":""Polygon"",""coordinates"":[[[126.83809853477702,37.487870929098314],[126.8380430811218,37.48787884953162],[126.83801801075165,37.487897278598055],[126.83813892278665,37.487902849452105],[126.83822242143586,37.48788500224152],[126.83826789509429,37.48788771796582],[126.83823246375806,37.48786748239512],[126.83814885646302,37.48786546946691],[126.83809853477702,37.487870929098314]]]}",True,지번,C:\Users\samsung\OneDrive\Desktop\2024년+12월+LX맵_필지_서울특별시(구+국토정보기본도(필지))\AL_11530_LAND_INFO_BASE_MAP_202501\11530.shp,328-1,True,매각(입찰)검토재산,토지,일반재산,대,60.0,37.48786666,126.8381233,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 제1종일반주거지역, 근린상업지역",UQA330,,가능후보,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 제1종일반주거지역, 근린상업지역 확인",우선검토,준공업지역,조건부 우선검토,지목(대)은 우선검토 대상; 준공업지역 포함: 주거/오피스텔 가능성은 있으나 서울시 조례·공장부지 여부 확인 필요,60~89㎡,매우소규모 추가검토,60~89㎡: 법령 하한은 넘지만 서울 주거지역 90㎡ 기준에는 못 미침,추가검토,지목(대)은 우선검토 대상; 준공업지역 포함: 주거/오피스텔 가능성은 있으나 서울시 조례·공장부지 여부 확인 필요; 60~89㎡: 법령 하한은 넘지만 서울 주거지역 90㎡ 기준에는 못 미침; 면적 기준 반영으로 조건부 우선검토 -> 추가검토,소규모 필지결합 검토,1.0,1007000749.0,1.0,90.2,350m 역세권,Y,역세권 추가검토,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 제1종일반주거지역, 근린상업지역",UQA330,,30.0,지목이 대라서 주거시설 후보지로 우선 검토할 수 있습니다.,35.0,False,8.0,328.0,True,1.0,8.0,60~89㎡ 구간이라 단독 개발보다 결합 검토가 유리할 수 있습니다.,1007000749.0 1.0번 출입구,25.0,106.0,,81.0,통과,토지,토지 신축형,역세권/안심주택형 정밀판정 필요,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",가장 가까운 역 범위이미지 기준으로 250m/350m 정밀 판정,350m 역세권,천왕,7호선,146.3,Y,토지 신축형,25,우선검토,30,최우선 검토,35,False,추가검토,12,예비판정,250m 이내,역세권 유력 후보,22,중간,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",천왕,상위후보 우선검토,True,청년안심주택형 유력,15,139,최우선검토,지목이 대로 신축형 검토에 유리합니다. 면적은 60.00㎡로 추가 검토 구간입니다. 용도지역은 준주거지역을 포함해 역세권 혼합개발형 청년주거 검토에 유리합니다. 천왕 기준 점거리 250m 이내 예비구간으로 역세권 유력 후보로 분류했습니다.
119,구로구,온수동,103-5,서울특별시 구로구 온수동 103-5,서울특별시 구로구 온수동 103-5,서울특별시,구로구,온수동,0,1,103,5,1153011000,1153011000101030005,"{""type"":""Polygon"",""coordinates"":[[[126.8247215520371,37.49343632273787],[126.8247069230239,37.493486602396736],[126.82473512640595,37.493462327890505],[126.82473897867922,37.49345908998377],[126.82482921339479,37.49336588319245],[126.82487818054854,37.49331730326373],[126.82491188074809,37.493315732303785],[126.82490043834375,37.49327742348899],[126.82482530031491,37.493299294845706],[126.82482315034112,37.493299922362],[126.82479713416029,37.493351239325],[126.82479667868702,37.49335259015859],[126.8247215520371,37.49343632273787]]]}",True,지번,C:\Users\samsung\OneDrive\Desktop\2024년+12월+LX맵_필지_서울특별시(구+국토정보기본도(필지))\AL_11530_LAND_INFO_BASE_MAP_202501\11530.shp,103-5,True,매각(입찰)검토재산,토지,일반재산,대,89.0,37.49336372,126.8248058,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 제1종일반주거지역, 근린상업지역",UQA330,,가능후보,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 제1종일반주거지역, 근린상업지역 확인",우선검토,준공업지역,조건부 우선검토,지목(대)은 우선검토 대상; 준공업지역 포함: 주거/오피스텔 가능성은 있으나 서울시 조례·공장부지 여부 확인 필요,60~89㎡,매우소규모 추가검토,60~89㎡: 법령 하한은 넘지만 서울 주거지역 90㎡ 기준에는 못 미침,추가검토,지목(대)은 우선검토 대상; 준공업지역 포함: 주거/오피스텔 가능성은 있으나 서울시 조례·공장부지 여부 확인 필요; 60~89㎡: 법령 하한은 넘지만 서울 주거지역 90㎡ 기준에는 못 미침; 면적 기준 반영으로 조건부 우선검토 -> 추가검토,소규모 필지결합 검토,1.0,1001000145.0,3.0,68.6,350m 역세권,Y,역세권 추가검토,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 제1종일반주거지역, 근린상업지역",UQA330,,30.0,지목이 대라서 주거시설 후보지로 우선 검토할 수 있습니다.,35.0,False,8.0,103.0,True,1.0,8.0,60~89㎡ 구간이라 단독 개발보다 결합 검토가 유리할 수 있습니다.,1001000145.0 3.0번 출입구,25.0,106.0,,81.0,통과,토지,토지 신축형,역세권/안심주택형 정밀판정 필요,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",가장 가까운 역 범위이미지 기준으로 250m/350m 정밀 판정,350m 역세권,온수(성공회대입구),"7호선, 경인선",164.9,Y,토지 신축형,25,우선검토,30,최우선 검토,35,False,추가검토,12,예비판정,250m 이내,역세권 유력 후보,22,중간,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",온수(성공회대입구),상위후보 우선검토,True,청년안심주택형 유력,15,139,최우선검토,지목이 대로 신축형 검토에 유리합니다. 면적은 89.00㎡로 추가 검토 구간입니다. 용도지역은 준주거지역을 포함해 역세권 혼합개발형 청년주거 검토에 유리합니다. 온수(성공회대입구) 기준 점거리 250m 이내 예비구간으로 역세권 유력 후보로 분류했습니다.
238,동작구,상도동,500-19,서울특별시 동작구 상도동 500-19,서울특별시 동작구 상도동 500-19,서울특별시,동작구,상도동,0,1,500,19,1159010200,1159010200105000019,"{""type"":""Polygon"",""coordinates"":[[[126.95527127929873,37.49476317759455],[126.95530299037745,37.494782868487185],[126.95538604133667,37.49482222972981],[126.95544462473985,37.494749486525436],[126.95533802771465,37.494685871230615],[126.95533591137219,37.49468495590856],[126.95527127929873,37.49476317759455]]]}",True,지번,C:\Users\samsung\OneDrive\Desktop\2024년+12월+LX맵_필지_서울특별시(구+국토정보기본도(필지))\AL_11590_LAND_INFO_BASE_MAP_202501\11590.shp,500-19,True,대부(입찰)검토재산,토지,일반재산,대,125.6,37.4947528,126.9553343,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 일반상업지역, 근린상업지역, 제1종일반주거지역",제1종전용주거지역,,가능후보,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 일반상업지역, 근린상업지역, 제1종일반주거지역 확인",우선검토,제1종전용주거지역,추가검토,지목(대)은 우선검토 대상; 제1종전용주거지역 포함: 청년주택 규모·용도 적합성 낮아 추가검토,90~149㎡,소규모 조건부검토,90~149㎡: 서울 주거지역 기준은 충족하지만 청년주택 신축 후보로는 작음,추가검토,지목(대)은 우선검토 대상; 제1종전용주거지역 포함: 청년주택 규모·용도 적합성 낮아 추가검토; 90~149㎡: 서울 주거지역 기준은 충족하지만 청년주택 신축 후보로는 작음,단독 또는 결합 검토,1.0,1007000738.0,2.0,238.9,350m 역세권,Y,역세권 추가검토,"제2종일반주거지역, 준주거지역, 제3종일반주거지역, 일반상업지역, 근린상업지역, 제1종일반주거지역",제1종전용주거지역,,30.0,지목이 대라서 주거시설 후보지로 우선 검토할 수 있습니다.,35.0,False,15.0,500.0,True,1.0,6.0,90~149㎡ 구간이라 단독과 결합 가능성을 함께 볼 수 있습니다.,1007000738.0 2.0번 출입구,25.0,111.0,,86.0,통과,토지,토지 신축형,역세권/안심주택형 정밀판정 필요,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",가장 가까운 역 범위이미지 기준으로 250m/350m 정밀 판정,350m 역세권,숭실대입구(살피재),7호선,194.8,Y,토지 신축형,25,우선검토,30,최우선 검토,35,False,추가검토,12,예비판정,250m 이내,역세권 유력 후보,22,중간,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",숭실대입구(살피재),상위후보 우선검토,True,청년안심주택형 유력,15,139,최우선검토,지목이 대로 신축형 검토에 유리합니다. 면적은 125.60㎡로 추가 검토 구간입니다. 용도지역은 준주거지역을 포함해 역세권 혼합개발형 청년주거 검토에 유리합니다. 숭실대입구(살피재) 기준 점거리 250m 이내 예비구간으로 역세권 유력 후보로 분류했습니다.
346,성북구,정릉동,299-14,서울특별시 성북구 정릉동 299-14,서울특별시 성북구 정릉동 299-14,서울특별시,성북구,정릉동,0,1,299,14,1129013300,1129013300102990014,"{""type"":""Polygon"",""coordinates"":[[[127.00813024871505,37.61193641499025],[127.00813701879562,37.611941882625885],[127.00813896613452,37.612018467456906],[127.00817225642834,37.61202942839023],[127.00823436770978,37.61190634176824],[127.00816096197343,37.611881921055435],[127.00813024871505,37.61193641499025]]]}",True,지번,C:\Users\samsung\OneDrive\Desktop\2024년+12월+LX맵_필지_서울특별시(구+국토정보기본도(필지))\AL_11290_LAND_INFO_BASE_MAP_202501\11290.shp,299-14,True,매각(입찰)검토재산,토지,일반재산,대,86.0,37.6119829,127.0081709,"제2종일반주거지역, 준주거지역",,,가능후보,"제2종일반주거지역, 준주거지역 확인",우선검토,,우선검토,지목(대)은 우선검토 대상,60~89㎡,매우소규모 추가검토,60~89㎡: 법령 하한은 넘지만 서울 주거지역 90㎡ 기준에는 못 미침,추가검토,지목(대)은 우선검토 대상; 60~89㎡: 법령 하한은 넘지만 서울 주거지역 90㎡ 기준에는 못 미침; 면적 기준 반영으로 우선검토 -> 추가검토,소규모 필지결합 우선검토,2.0,1092004709.0,1.0,21.0,350m 역세권,Y,역세권 추가검토,"제2종일반주거지역, 준주거지역",,,30.0,지목이 대라서 주거시설 후보지로 우선 검토할 수 있습니다.,35.0,False,8.0,299.0,True,2.0,11.0,60~89㎡ 구간이며 인접 소규모 필지가 있어 결합 우선 검토가 가능합니다.,1092004709.0 1.0번 출입구,25.0,109.0,,84.0,통과,토지,토지 신축형,역세권/안심주택형 정밀판정 필요,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",가장 가까운 역 범위이미지 기준으로 250m/350m 정밀 판정,350m 역세권,북한산보국문,우이신설선,12.2,Y,토지 신축형,25,우선검토,30,최우선 검토,35,False,추가검토,12,예비판정,250m 이내,역세권 유력 후보,22,중간,"기존 출입구 350m를 하드필터에서 제거했고, 250m/350m는 이미지 기반으로 다시 판정해야 함",북한산보국문,상위후보 우선검토,True,청년안심주택형 유력,15,139,최우선검토,지목이 대로 신축형 검토에 유리합니다. 면적은 86.00㎡로 추가 검토 구간입니다. 용도지역은 준주거지역을 포함해 역세권 혼합개발형 청년주거 검토에 유리합니다. 북한산보국문 기준 점거리 250m 이내 예비구간으로 역세권 유력 후보로 분류했습니다.
